feature,pu,value
3,63399,1
3,63400,32
3,64109,32
3,64253,32
3,64255,32
3,64479,32
3,64632,2
3,64824,32
3,65166,32
3,65179,32
3,65386,32
3,65627,32
3,65946,32
3,65985,32
3,66404,32
3,66653,32
3,67236,32
3,67254,32
3,67305,32
3,67334,32
3,67533,4
3,67649,32
3,67666,32
3,67697,32
3,67786,32
3,67900,32
3,68032,32
3,68167,2
3,68245,32
3,68473,32
3,69055,32
3,69190,1
3,69214,32
3,69440,32
3,69558,32
3,69561,1
3,69819,32
3,70151,32
3,70248,4
3,70275,32
3,70300,32
3,70371,4
3,70389,1
3,70517,32
3,70734,32
3,70939,4
3,71541,32
3,71566,32
3,72130,2
3,72553,32
3,72659,32
3,72908,2
3,72940,32
3,73099,1
3,73148,2
3,73149,32
3,73214,32
3,73248,32
3,73252,32
3,73636,32
3,73898,32
3,74024,32
3,74031,2
3,74216,32
3,74517,32
3,74526,1
3,74660,32
3,74822,32
3,74824,4
3,75104,32
3,75105,32
3,75440,4
3,75458,32
3,75523,32
3,75941,32
3,75944,2
3,76011,32
3,76282,32
3,76410,32
3,76411,32
3,76412,2
3,76639,32
3,76781,32
3,76998,32
3,77005,2
3,77032,4
3,77035,32
3,77114,32
3,77115,32
3,77297,2
3,77524,32
3,77644,32
3,77763,1
3,77859,1
3,78198,32
3,78323,32
3,78553,32
3,78790,32
3,79072,32
3,79258,1
3,79377,32
3,79507,32
3,79535,32
3,79916,32
3,80011,32
3,80287,32
3,80622,2
3,80861,32
3,81260,2
3,81589,32
3,81847,32
3,81969,32
3,82215,32
3,82216,1
3,82222,32
3,82576,32
3,82753,32
3,82772,32
3,82891,32
3,83035,32
3,83037,32
3,83038,1
3,83040,32
3,83154,32
3,83315,1
3,83484,32
3,83588,1
3,83751,32
3,84043,4
3,84085,32
3,84437,1
3,84650,32
3,84927,32
3,85005,32
3,85051,32
3,85118,32
3,85136,32
3,85249,32
3,85250,32
3,85657,1
3,85659,32
3,85684,2
3,85830,32
3,86100,32
3,86275,32
3,86372,32
3,86491,32
3,86760,32
3,87073,1
3,87088,32
3,87199,32
3,87864,1
3,87866,2
3,88166,32
3,88579,1
3,88606,32
3,88607,32
3,88797,32
3,88849,32
3,89129,32
3,89290,32
3,89374,32
3,89643,32
3,89707,32
3,89750,32
3,89964,32
3,90068,32
3,90072,32
3,90097,2
3,90320,32
3,90334,32
3,90474,32
3,90683,2
3,90811,32
3,90854,32
3,91267,1
3,91292,32
3,91551,32
3,91732,2
3,91736,32
3,91751,32
3,91753,32
3,91848,32
3,91978,32
3,92018,32
3,92350,32
3,92470,32
3,92483,32
3,92556,32
3,92787,2
3,92906,32
3,93232,32
3,93234,32
3,93240,32
3,93681,32
3,93705,32
3,93976,32
3,94096,2
3,94362,32
3,94448,32
3,94917,32
3,95485,32
3,95795,32
3,95810,2
3,95812,32
3,95913,2
3,95932,1
3,96005,32
3,96059,32
3,96242,32
3,96381,32
3,96507,32
3,96628,32
3,96714,32
3,96842,32
3,97062,32
3,97097,2
3,97201,32
3,97372,32
3,97510,32
3,97533,32
3,97890,2
3,97914,32
3,98097,32
3,98155,32
3,98236,32
3,98377,32
3,98378,32
3,98825,32
3,98828,32
3,98861,32
3,98930,32
3,99277,2
3,99322,32
3,99328,32
3,99544,32
3,99618,1
3,99684,1
3,99810,32
3,100148,32
3,100247,32
3,100285,32
3,100406,32
3,100475,32
3,100476,32
3,100479,32
3,100512,32
3,100519,32
3,100590,32
3,100631,32
3,100726,32
3,100978,1
3,101297,32
3,101407,2
3,101499,32
3,101503,32
3,101551,2
3,102003,32
3,102301,32
3,102471,1
3,102699,32
3,102712,32
3,103149,1
3,103262,32
3,103280,32
3,103424,32
3,103444,32
3,103665,1
3,103666,32
3,103781,32
3,103889,32
3,104036,32
3,104110,32
3,104340,32
3,104366,2
3,104475,1
3,104724,32
3,104863,32
3,104922,32
3,104982,32
3,105028,32
3,105618,32
3,105711,32
3,106120,32
3,106465,32
3,106517,1
3,106858,32
3,107251,32
3,107553,4
3,107791,32
3,107824,32
3,107840,32
3,108281,32
3,109096,32
3,109220,4
3,109237,32
3,109239,32
3,109327,2
3,109576,32
3,109895,32
3,110027,32
3,110164,32
3,110244,32
3,110635,32
3,110731,1
3,110733,32
3,110940,32
3,111064,4
3,111096,1
3,111177,32
3,111303,2
3,111764,32
3,112101,32
3,112398,32
3,112720,32
3,113016,32
3,113056,1
3,113366,32
3,113387,1
3,113848,32
3,113865,32
3,114054,32
3,114074,1
3,114094,32
3,114584,32
3,114675,4
3,114840,32
3,114909,1
3,114912,1
3,115007,32
3,115026,32
3,115047,32
3,115048,32
3,115177,2
3,115200,2
3,115397,4
3,115412,32
3,115478,32
3,115542,32
3,115635,32
3,115920,32
3,115984,1
3,116185,2
3,116271,1
3,116274,32
3,116288,32
3,116295,32
3,116551,1
3,117012,32
3,117182,32
3,117491,32
3,117508,32
3,117511,1
3,117602,2
3,117673,32
3,117676,32
3,118073,32
3,118175,32
3,118191,32
3,118305,32
3,118448,32
3,118556,32
3,118560,32
3,118761,32
3,118871,2
3,118954,32
3,118989,32
3,119013,32
3,119127,2
3,119245,32
3,119247,32
3,119474,32
3,119548,32
3,119591,2
3,119691,32
3,119743,32
3,119803,32
3,119804,32
3,119889,32
3,120414,32
4,1296.0,4
4,671.0,4
4,8415.0,1
4,1122.0,32
4,6913.0,1
4,8017.0,4
4,8887.0,1
4,13115.0,1
4,14570.0,1
4,58187.0,32
4,20944.0,1
4,25604.0,1
4,30103.0,1
4,32376.0,4
4,32781.0,1
4,34186.0,1
4,44567.0,1
4,40395.0,32
4,41440.0,1
4,44873.0,1
4,47168.0,1
4,47770.0,32
4,51706.0,1
4,53953.0,32
4,59189.0,1
4,62044.0,1
4,82635.0,32
4,78131.0,1
4,108499.0,1
4,80985.0,1
4,105110.0,4
4,106121.0,1
4,84190.0,32
4,93269.0,4
4,101169.0,32
4,101171.0,1
4,113716.0,1
4,116969.0,4
19,146,4
19,390,4
19,401,4
19,422,4
19,609,4
19,9761,4
19,12671,4
19,30899,4
19,5163,4
19,1193,4
19,1420,4
19,2178,4
19,3011,4
19,3210,4
19,3233,4
19,3475,4
19,4236,4
19,4244,4
19,4385,4
19,4613,4
19,4771,4
19,5240,4
19,5355,4
19,5762,4
19,6099,4
19,7395,4
19,7610,4
19,8858,4
19,9673,4
19,10478,4
19,12876,4
19,10994,4
19,12440,4
19,12506,4
19,12752,4
19,12999,4
19,13240,4
19,13259,4
19,13482,4
19,13819,4
19,14912,4
19,14918,4
19,14338,4
19,14027,4
19,14551,4
19,14416,4
19,16112,4
19,15443,4
19,15450,4
19,17025,4
19,17956,4
19,18039,4
19,31882,4
19,32023,4
19,45151,4
19,22899,4
19,33036,4
19,52433,4
19,58200,4
19,91954,4
19,17208,4
19,17241,4
19,17474,4
19,18404,4
19,21660,4
19,40115,4
19,19019,4
19,19028,4
19,22501,4
19,19483,4
19,21910,4
19,21975,4
19,22633,4
19,22797,4
19,22962,4
19,23070,4
19,23447,4
19,25598,4
19,25641,4
19,25648,4
19,23989,4
19,24023,4
19,24347,4
19,25246,4
19,27183,4
19,27315,4
19,26694,4
19,26937,4
19,28159,4
19,28366,4
19,29080,4
19,25984,4
19,26414,4
19,26487,4
19,42581,4
19,29304,4
19,30242,4
19,30474,4
19,30635,4
19,35237,4
19,31301,4
19,31495,4
19,31518,4
19,31825,4
19,32047,4
19,32070,4
19,32142,4
19,32382,4
19,32383,4
19,33490,4
19,33519,4
19,33538,4
19,33666,4
19,34732,4
19,33986,4
19,34003,4
19,34237,4
19,36284,4
19,37403,4
19,52561,4
19,35547,4
19,35782,4
19,36024,4
19,36133,4
19,36273,4
19,38086,4
19,38129,4
19,37568,4
19,37579,4
19,37600,4
19,37689,4
19,37719,4
19,38213,4
19,39429,4
19,39540,4
19,39895,4
19,40471,4
19,40504,4
19,40580,4
19,41604,4
19,41641,4
19,42698,4
19,41990,4
19,43036,4
19,43176,4
19,43778,4
19,44706,4
19,44742,4
19,44808,4
19,45878,4
19,46238,4
19,47364,4
19,47703,4
19,48715,4
19,48831,4
19,54702,4
19,48329,4
19,49194,4
19,49460,4
19,50366,4
19,50367,4
19,50489,4
19,51970,4
19,53858,4
19,53948,4
19,63778,4
19,65912,4
19,66003,4
19,50983,4
19,51304,4
19,51632,4
19,55120,4
19,52809,4
19,53373,4
19,53811,4
19,54187,4
19,54657,4
19,54472,4
19,54533,4
19,54885,4
19,55832,4
19,55945,4
19,56049,4
19,56534,4
19,56649,4
19,56864,4
19,57499,4
19,58483,4
19,58159,4
19,59348,4
19,59353,4
19,59600,4
19,60232,4
19,60268,4
19,62479,4
19,62489,4
19,60831,4
19,61262,4
19,61290,4
