PUID,SOLUTION
12575,0
12576,0
12577,1
12578,0
12579,0
12580,0
12581,0
12582,0
12583,0
12584,0
12585,0
12586,0
12587,0
12588,0
12589,0
12590,0
12591,0
12592,0
12827,0
12828,0
12829,0
12830,0
12831,0
12832,1
12833,1
12834,1
12835,0
12836,0
12837,0
12838,0
12839,0
12840,0
12841,0
12842,0
12843,0
12844,0
12845,0
12846,0
12847,0
12848,1
12849,1
12850,1
12851,0
12852,0
12853,0
12854,0
12855,0
12856,1
12857,0
12858,0
12859,0
12860,0
12861,0
12862,0
12863,1
12864,0
12865,1
12866,0
12867,0
12868,0
12869,1
12870,1
12871,1
12872,1
12873,0
12874,0
12875,0
12876,0
12877,1
12878,0
12879,0
12880,0
12881,0
13116,0
13117,0
13118,0
13119,0
13120,1
13121,0
13122,0
13123,0
13124,0
13125,0
13126,0
13127,0
13128,0
13129,0
13130,1
13131,0
13132,1
13133,0
13134,0
13135,0
13136,0
13137,1
13138,0
13139,0
13140,0
13141,1
13142,0
13143,0
13144,0
13145,0
13146,0
13147,0
13148,0
13149,0
13150,0
13151,0
13152,1
13153,0
13154,0
13155,1
13156,1
13157,0
13158,0
13159,0
13160,0
13161,1
13162,1
13163,0
13164,0
13165,0
13166,1
13167,0
13168,0
13169,1
13170,0
13171,0
13172,0
13406,0
13407,0
13408,0
13409,0
13410,0
13411,0
13412,0
13413,0
13414,1
13415,0
13416,1
13417,0
13418,0
13419,0
13420,1
13421,1
13422,0
13423,0
13424,0
13425,0
13426,0
13427,0
13428,0
13429,0
13430,1
13431,1
13432,0
13433,1
13434,0
13435,1
13436,0
13437,1
13438,0
13439,0
13440,0
13441,0
13442,0
13443,0
13444,0
13445,0
13446,0
13447,0
13448,0
13449,0
13450,1
13451,0
13452,0
13453,0
13454,0
13455,1
13456,1
13457,1
13458,0
13459,1
13460,0
13461,0
13696,0
13697,0
13698,0
13699,0
13700,0
13701,0
13702,1
13703,0
13704,0
13705,0
13706,1
13707,1
13708,0
13709,1
13710,1
13711,0
13712,0
13713,1
13714,0
13715,0
13716,0
13717,0
13718,0
13719,0
13720,1
13721,1
13722,0
13723,0
13724,0
13725,1
13726,0
13727,0
13728,1
13729,1
13730,0
13731,0
13732,0
13733,1
13734,0
13735,0
13736,0
13737,0
13738,0
13739,0
13740,0
13741,0
13742,1
13743,0
13744,0
13745,0
13746,0
13747,0
13748,0
13749,1
13750,0
13984,0
13985,0
13986,0
13987,0
13988,0
13989,1
13990,0
13991,0
13992,0
13993,0
13994,0
13995,0
13996,0
13997,0
13998,0
13999,0
14000,1
14001,0
14002,0
14003,0
14004,0
14005,0
14006,0
14007,0
14008,1
14009,0
14010,0
14011,0
14012,0
14013,1
14014,0
14015,0
14016,1
14017,0
14018,1
14019,0
14020,0
14021,0
14022,0
14023,0
14024,0
14025,0
14026,0
14027,0
14028,0
14029,0
14030,0
14031,0
14032,0
14033,0
14034,1
14035,1
14036,0
14037,0
14038,1
14039,0
14040,0
14274,0
14275,0
14276,0
14277,0
