id,cost,status,xloc,yloc,pu_val
292,1,0,146.506736285419,-17.1544369208373,0
293,1,0,146.64516764864402,-17.157003444261697,1
294,1,0,146.78360369378902,-17.1594514040569,1
295,1,0,146.922044199671,-17.1617807944361,1
296,1,0,145.886713168354,-17.026609157712098,0
297,1,0,146.02501370144302,-17.029706774969,0
298,1,0,146.163319898032,-17.03268594838,0
299,1,0,146.301631537666,-17.0355466709152,0
300,1,0,146.43994839984,-17.038288935823697,0
301,1,0,146.578270263999,-17.0409127366335,0
302,1,0,146.716596909537,-17.0434180671519,0
303,1,0,146.85492811580602,-17.0458049214654,0
304,1,0,145.820468257147,-16.9102044519134,0
305,1,0,145.958659022293,-16.9133588833633,0
306,1,0,146.09685554776698,-16.9163949647278,0
307,1,0,146.235057613652,-16.9193126888534,0
308,1,0,146.373264999979,-16.9221120488651,0
309,1,0,146.511477486726,-16.924793038166,0
310,1,0,146.649694853825,-16.9273556504381,0
311,1,0,146.787916881159,-16.9297998796416,0
312,1,0,145.61625207532302,-16.790441863917902,0
313,1,0,145.75432712006702,-16.7937712699887,0
314,1,0,145.892408240812,-16.7969824272105,0
315,1,0,146.030495218233,-16.8000753280295,0
316,1,0,146.168587832947,-16.8030499651694,0
317,1,0,146.306685865521,-16.8059063316314,0
318,1,0,146.444789096466,-16.808644420694698,0
319,1,0,146.582897306248,-16.811264225916098,0
320,1,0,146.721010275281,-16.8137657411306,0
321,1,0,145.550324109052,-16.6739237329359,0
322,1,0,145.68828953755,-16.677309682796302,0
323,1,0,145.826261137381,-16.6805774775342,0
324,1,0,145.964238689755,-16.683727109474006,0
325,1,0,146.102221975824,-16.6867585712171,0
326,1,0,146.240210776688,-16.6896718556419,0
327,1,0,146.37820487339198,-16.6924669559037,0
328,1,0,146.516204046932,-16.6951438654353,0
329,1,0,146.654208078255,-16.6977025779465,0
330,1,0,145.48449935441005,-16.5573773554082,0
331,1,0,145.62235529056602,-16.560819761045803,0
332,1,0,145.76021749291098,-16.5641441052089,0
333,1,0,145.89808574319,-16.5673503801007,0
